Id,Prediction
1,6
2,7
3,4
4,9
5,0
6,0
7,1
8,0
9,4
10,4
11,1
12,4
13,5
14,4
15,2
16,7
17,0
18,9
19,4
20,4
21,0
22,8
23,7
24,5
25,9
26,5
27,2
28,9
29,6
30,6
31,3
32,2
33,0
34,5
35,5
36,7
37,9
38,1
39,2
40,9
41,8
42,7
43,8
44,4
45,6
46,0
47,1
48,5
49,8
50,4
51,3
52,2
53,4
54,6
55,6
56,9
57,8
58,0
59,9
60,7
61,6
62,5
63,7
64,4
65,5
66,9
67,8
68,1
69,6
70,5
71,6
72,6
73,1
74,0
75,2
76,1
77,5
78,6
79,8
80,6
81,1
82,8
83,0
84,4
85,3
86,1
87,1
88,2
89,4
90,2
91,8
92,1
93,2
94,1
95,8
96,2
97,9
98,1
99,1
100,6
101,4
102,6
103,0
104,6
105,5
106,1
107,8
108,0
109,2
110,7
111,0
112,5
113,4
114,5
115,7
116,2
117,1
118,4
119,4
120,4
121,4
122,9
123,1
124,5
125,6
126,9
127,5
128,0
129,1
130,6
131,6
132,6
133,8
134,7
135,6
136,5
137,0
138,8
139,0
140,6
141,4
142,8
143,6
144,6
145,6
146,3
147,9
148,4
149,7
150,8
151,4
152,7
153,3
154,8
155,3
156,1
157,8
158,7
159,6
160,8
161,8
162,7
163,2
164,6
165,6
166,6
167,2
168,8
169,8
170,4
171,3
172,6
173,8
174,9
175,4
176,4
177,9
178,9
179,8
180,4
181,9
182,6
183,7
184,6
185,1
186,1
187,6
188,5
189,6
190,0
191,0
192,0
193,4
194,6
195,6
196,5
197,4
198,1
199,2
200,4
201,8
202,6
203,8
204,7
205,4
206,5
207,0
208,2
209,5
210,0
211,8
212,8
213,8
214,8
215,1
216,9
217,8
218,6
219,7
220,1
221,6
222,9
223,1
224,5
225,2
226,1
227,6
228,4
229,4
230,4
231,6
232,2
233,7
234,5
235,6
236,6
237,2
238,2
239,6
240,3
241,0
242,9
243,8
244,9
245,6
246,1
247,8
248,8
249,7
250,5
251,8
252,7
253,8
254,5
255,2
256,4
257,1
258,4
259,4
260,6
261,0
262,8
263,4
264,9
265,0
266,2
267,5
268,1
269,2
270,0
271,2
272,9
273,0
274,6
275,2
276,5
277,6
278,2
279,0
280,1
281,3
282,4
283,8
284,4
285,8
286,6
287,7
288,5
289,5
290,8
291,1
292,8
293,4
294,1
295,6
296,6
297,4
298,6
299,1
300,7
301,1
302,7
303,7
304,3
305,4
306,8
307,6
308,8
309,1
310,6
311,8
312,3
313,2
314,5
315,0
316,0
317,9
318,4
319,8
320,6
321,9
322,0
323,4
324,9
325,6
326,8
327,0
328,0
329,8
330,8
331,6
332,8
333,1
334,6
335,6
336,8
337,4
338,1
339,7
340,8
341,1
342,4
343,7
344,5
345,5
346,5
347,6
348,7
349,0
350,4
351,6
352,4
353,1
354,5
355,6
356,7
357,2
358,8
359,9
360,8
361,6
362,6
363,5
364,1
365,7
366,6
367,1
368,6
369,2
370,8
371,0
372,1
373,6
374,4
375,8
376,6
377,8
378,6
379,9
380,6
381,2
382,2
383,6
384,4
385,2
386,9
387,1
388,4
389,7
390,8
391,1
392,4
393,8
394,3
395,6
396,3
397,5
398,7
399,9
400,1
401,8
402,4
403,7
404,9
405,9
406,1
407,4
408,6
409,7
410,6
411,0
412,5
413,1
414,9
415,6
416,3
417,2
418,8
419,9
420,9
421,5
422,0
423,2
424,3
425,1
426,6
427,4
428,7
429,2
430,6
431,9
432,8
433,8
434,4
435,0
436,8
437,6
438,1
439,2
440,8
441,2
442,6
443,8
444,9
445,7
446,7
447,6
448,7
449,3
450,4
451,6
452,6
453,3
454,7
455,4
456,6
457,4
458,6
459,2
460,7
461,0
462,9
463,4
464,4
465,4
466,8
467,0
468,5
469,8
470,2
471,9
472,0
473,2
474,9
475,1
