Id,Prediction
1,5
2,5
3,9
4,9
5,9
6,8
7,8
8,8
9,9
10,5
11,9
12,4
13,3
14,4
15,8
16,5
17,8
18,9
19,3
20,7
21,8
22,1
23,5
24,5
25,1
26,3
27,6
28,9
29,8
30,6
31,6
32,4
33,8
34,4
35,4
36,7
37,4
38,4
39,4
40,4
41,8
42,6
43,8
44,8
45,6
46,8
47,1
48,8
49,8
50,5
51,4
52,1
53,9
54,4
55,4
56,9
57,8
58,6
59,9
60,9
61,7
62,5
63,6
64,6
65,6
66,4
67,1
68,1
69,6
70,2
71,6
72,5
73,1
74,8
75,2
76,8
77,2
78,5
79,8
80,6
81,4
82,8
83,0
84,6
85,6
86,1
87,1
88,4
89,5
90,0
91,1
92,1
93,6
94,1
95,8
96,5
97,4
98,9
99,9
100,6
101,6
102,4
103,0
104,5
105,6
106,9
107,8
108,8
109,1
110,4
111,4
112,7
113,9
114,2
115,6
116,6
117,4
118,1
119,7
120,2
121,2
122,4
123,1
124,7
125,6
126,4
127,5
128,6
129,1
130,3
131,2
132,4
133,8
134,4
135,6
136,7
137,0
138,8
139,8
140,6
141,7
142,4
143,6
144,4
145,6
146,6
147,9
148,4
149,6
150,1
151,9
152,7
153,8
154,0
155,5
156,1
157,7
158,2
159,6
160,8
161,8
162,5
163,0
164,6
165,6
166,6
167,5
168,2
169,0
170,8
171,9
172,6
173,9
174,4
175,5
176,1
177,9
178,1
179,4
180,6
181,9
182,6
183,4
184,6
185,9
186,0
187,4
188,5
189,6
190,4
191,9
192,8
193,4
194,9
195,7
196,2
197,5
198,6
199,6
200,6
201,8
202,4
203,1
204,0
205,6
206,2
207,1
208,2
209,4
210,8
211,9
212,4
213,8
214,8
215,1
216,8
217,4
218,2
219,6
220,1
221,6
222,9
223,1
224,9
225,2
226,8
227,7
228,9
229,4
230,8
231,6
232,5
233,2
234,4
235,8
236,6
237,5
238,6
239,7
240,4
241,1
242,9
243,8
244,9
245,4
246,0
247,1
248,4
249,4
250,5
251,1
252,8
253,8
254,6
255,3
256,4
257,1
258,1
259,8
260,6
261,8
262,1
263,5
264,9
265,9
266,9
267,5
268,1
269,4
270,8
271,4
272,9
273,4
274,7
275,2
276,4
277,1
278,4
279,1
280,9
281,5
282,6
283,8
284,5
285,0
286,5
287,4
288,5
289,4
290,8
291,8
292,8
293,1
294,1
295,6
296,4
297,4
298,6
299,1
300,5
301,8
302,4
303,5
304,4
305,4
306,9
307,6
308,8
309,6
310,6
311,8
312,4
313,6
314,5
315,1
316,8
317,8
318,5
319,2
320,4
321,8
322,0
323,6
324,9
325,6
326,4
327,0
328,8
329,2
330,0
331,5
332,8
333,1
334,9
335,5
336,2
337,5
338,8
339,6
340,8
341,2
342,4
343,7
344,6
345,7
346,4
347,6
348,7
349,1
350,4
351,6
352,4
353,1
354,5
355,4
356,5
357,5
358,9
359,9
360,4
361,4
362,9
363,6
364,0
365,9
366,6
367,6
368,6
369,6
370,8
371,2
372,4
373,4
374,5
375,8
376,2
377,2
378,4
379,9
380,6
381,9
382,5
383,9
384,4
385,2
386,8
387,8
388,6
389,6
390,8
391,8
392,6
393,8
394,6
395,6
396,7
397,4
398,5
399,9
400,8
401,6
402,2
403,7
404,1
405,4
406,2
407,9
408,4
409,6
410,6
411,8
412,4
413,9
414,8
415,4
416,6
417,5
418,4
419,5
420,9
421,8
422,4
423,6
424,4
425,1
426,4
427,6
428,4
429,4
430,5
431,9
432,4
433,1
434,8
435,9
436,8
437,4
438,8
439,5
440,4
441,4
442,5
443,8
444,1
445,9
446,1
447,8
448,6
449,6
450,7
451,4
452,4
453,6
454,1
455,6
456,4
457,9
458,7
459,2
460,6
461,2
462,9
463,9
464,5
465,5
466,8
467,6
468,2
469,0
470,2
471,9
472,6
473,6
474,5
475,9
476,5
477,4
478,8
479,1
480,4
481,2
482,4
483,6
484,6
485,6
486,7
487,4
488,9
489,6
490,8
491,1
492,8
493,8
494,8
495,9
496,1
497,4
498,6
499,5
500,6
501,4
502,5
503,1
504,6
505,1
506,8
507,6
508,5
509,4
510,1
511,4
512,2
513,4
514,4
515,9
516,6
517,9
518,4
519,6
520,4
521,6
522,5
523,4
524,8
525,5
526,5
527,2
528,2
529,6
530,2
531,6
532,6
533,4
534,9
535,6
536,1
537,9
538,5
539,5
540,9
541,6
542,9
543,5
544,5
545,6
546,2
547,9
548,5
549,1
550,4
551,4
552,6
553,5
554,2
555,6
556,1
557,9
558,1
559,4
560,8
561,6
562,1
563,9
564,5
565,8
566,4
567,9
568,1
569,4
570,2
571,2
572,2
573,5
574,2
575,1
576,8
577,7
578,6
579,4
580,2
581,2
582,8
583,2
584,4
585,6
586,6
587,0
588,9
589,8
590,8
591,5
592,4
593,6
594,5
595,4
596,4
597,9
598,8
599,4
600,0
601,9
602,9
603,5
604,6
605,5
606,8
607,9
608,5
609,9
610,6
611,1
612,9
613,4
614,2
615,2
616,8
617,8
618,4
619,7
620,5
621,5
622,5
623,8
624,1
625,8
626,6
627,1
628,9
629,9
630,1
631,4
632,2
633,6
634,1
635,8
636,1
637,1
638,8
639,1
640,4
641,1
642,9
