Id,Prediction
1,6
2,7
3,7
4,8
5,9
6,0
7,0
8,2
9,1
10,5
11,9
12,5
13,5
14,5
15,6
16,6
17,8
18,9
19,0
20,9
21,8
22,7
23,4
24,9
25,8
26,2
27,6
28,7
29,2
30,5
31,4
32,7
33,0
34,9
35,5
36,7
37,8
38,1
39,3
40,8
41,8
42,1
43,1
44,0
45,6
46,8
47,8
48,0
49,8
50,6
51,7
52,0
53,9
54,7
55,6
56,1
57,8
58,6
59,9
60,7
61,7
62,5
63,1
64,7
65,7
66,9
67,8
68,9
69,6
70,0
71,5
72,6
73,9
74,9
75,2
76,8
77,5
78,6
79,8
80,6
81,6
82,8
83,0
84,7
85,6
86,1
87,2
88,9
89,4
90,0
91,5
92,6
93,2
94,1
95,9
96,2
97,0
98,1
99,9
100,6
101,9
102,4
103,0
104,5
105,5
106,1
107,0
108,0
109,4
110,2
111,4
112,2
113,9
114,2
115,5
116,1
117,3
118,6
119,3
120,4
121,2
122,1
123,3
124,6
125,6
126,3
127,6
128,0
129,0
130,5
131,0
132,3
133,8
134,7
135,0
136,7
137,8
138,2
139,1
140,6
141,4
142,8
143,5
144,2
145,0
146,8
147,1
148,5
149,5
150,1
151,9
152,5
153,3
154,2
155,5
156,1
157,0
158,4
159,2
160,8
161,0
162,4
163,2
164,6
165,5
166,9
167,5
168,3
169,8
170,7
171,7
172,3
173,0
174,1
175,7
176,3
177,9
178,9
179,8
180,5
181,9
182,1
183,7
184,5
185,1
186,0
187,8
188,9
189,5
190,5
191,9
192,8
193,4
194,1
195,1
196,7
197,7
198,1
199,9
200,7
201,8
202,4
203,1
204,8
205,4
206,2
207,0
208,2
209,3
210,0
211,9
212,6
213,8
214,8
215,9
216,8
217,8
218,3
219,7
220,1
221,6
222,9
223,1
224,5
225,0
226,0
227,4
228,1
229,7
230,0
231,6
232,6
233,2
234,8
235,0
236,5
237,4
238,6
239,2
240,6
241,0
242,9
243,8
244,9
245,4
246,8
247,0
248,4
249,7
250,2
251,8
252,7
253,8
254,9
255,7
256,4
257,4
258,7
259,8
260,5
261,8
262,1
263,6
264,9
265,9
266,7
267,7
268,1
269,2
270,8
271,2
272,9
273,0
274,5
275,2
276,0
277,1
278,2
279,8
280,1
281,3
282,7
283,0
284,3
285,0
286,3
287,4
288,5
289,2
290,8
291,1
292,0
293,0
294,1
295,6
296,0
297,0
298,6
299,1
300,7
301,1
302,5
303,7
304,3
305,4
306,5
307,5
308,0
309,6
310,6
311,0
312,2
313,7
314,4
315,7
316,8
317,8
318,3
319,8
320,3
321,8
322,0
323,2
324,5
325,6
326,0
327,0
328,7
329,0
330,8
331,2
332,7
333,1
334,9
335,5
336,0
337,3
338,8
339,4
340,1
341,3
342,3
343,7
344,8
345,2
346,3
347,6
348,7
349,1
350,8
351,6
352,2
353,1
354,0
355,2
356,7
357,5
358,8
359,9
360,3
361,3
362,1
363,5
364,2
365,7
366,7
367,1
368,6
369,1
370,1
371,2
372,6
373,1
374,3
375,8
376,3
377,0
378,5
379,1
380,4
381,6
382,3
383,1
384,3
385,0
386,9
387,0
388,6
389,3
390,8
391,0
392,4
393,8
394,7
395,6
396,2
397,2
398,5
399,7
400,4
401,0
402,2
403,7
404,1
405,7
406,6
407,7
408,2
409,6
410,2
411,8
412,8
413,1
414,8
415,2
416,6
417,3
418,8
419,9
420,9
421,8
422,0
423,7
424,4
425,1
426,3
427,7
428,7
429,6
430,6
431,7
432,0
433,1
434,1
435,4
436,9
437,0
438,1
439,6
440,5
441,7
442,8
443,8
444,2
445,5
446,9
447,3
448,7
449,7
450,5
451,6
452,3
453,7
454,4
455,6
456,6
457,1
458,9
459,0
460,9
461,0
462,9
463,7
464,3
465,7
466,8
467,7
468,8
469,0
470,5
471,9
472,0
473,7
474,7
475,1
